29.10.2015 14:35:42: Start command "metal:project:normalize-user-avatars"
Move avatar image 13956"
Move avatar image 13957"
Move avatar image 13958"
Move avatar image 13959"
Move avatar image 13960"
Move avatar image 13961"
Move avatar image 13962"
Move avatar image 13963"
Move avatar image 13964"
Move avatar image 13965"
Move avatar image 13966"
Move avatar image 13967"
Move avatar image 13968"
Move avatar image 13969"
Move avatar image 13970"
Move avatar image 13971"
Move avatar image 13972"
Move avatar image 13973"
Move avatar image 13974"
Move avatar image 13975"
Move avatar image 13976"
Move avatar image 13977"
Move avatar image 13978"
Move avatar image 13979"
Move avatar image 13980"
Move avatar image 13981"
Move avatar image 13982"
Move avatar image 13983"
Move avatar image 13984"
Move avatar image 13985"
Move avatar image 13986"
Move avatar image 13987"
Move avatar image 13988"
Move avatar image 13989"
Move avatar image 13990"
Move avatar image 13991"
Move avatar image 13992"
Move avatar image 13993"
Move avatar image 13994"
Move avatar image 13995"
Move avatar image 13996"
Move avatar image 13997"
Move avatar image 13998"
Move avatar image 13999"
Move avatar image 14000"
Move avatar image 14001"
Move avatar image 14002"
Move avatar image 14003"
Move avatar image 14004"
Move avatar image 14005"
Move avatar image 14006"
Move avatar image 14007"
Move avatar image 14008"
Move avatar image 14009"
Move avatar image 14010"
Move avatar image 14011"
Move avatar image 14012"
Move avatar image 14013"
Move avatar image 14014"
Move avatar image 14015"
Move avatar image 14016"
Move avatar image 14017"
Move avatar image 14018"
Move avatar image 14019"
Move avatar image 14020"
Move avatar image 14021"
Move avatar image 14022"
Move avatar image 14023"
Move avatar image 14024"
Move avatar image 14025"
Move avatar image 14026"
Move avatar image 14027"
Move avatar image 14028"
Move avatar image 14029"
Move avatar image 14030"
Move avatar image 14031"
Move avatar image 14032"
Move avatar image 14033"
Move avatar image 14034"
Move avatar image 14035"
Move avatar image 14036"
Move avatar image 14037"
Move avatar image 14038"
Move avatar image 14039"
Move avatar image 14040"
Move avatar image 14041"
Move avatar image 14042"
Move avatar image 14043"
Move avatar image 14044"
Move avatar image 14045"
Move avatar image 14046"
Move avatar image 14047"
Move avatar image 14048"
Move avatar image 14049"
Move avatar image 14050"
Move avatar image 14051"
Move avatar image 14052"
Move avatar image 14053"
Move avatar image 14054"
Move avatar image 14055"
Move avatar image 14056"
Move avatar image 14057"
Move avatar image 14058"
Move avatar image 14059"
Move avatar image 14060"
Move avatar image 14061"
Move avatar image 14062"
Move avatar image 14063"
Move avatar image 14064"
Move avatar image 14065"
Move avatar image 14066"
Move avatar image 14067"
Move avatar image 14068"
Move avatar image 14069"
Move avatar image 14070"
Move avatar image 14071"
Move avatar image 14072"
Move avatar image 14073"
Move avatar image 14074"
Move avatar image 14075"
Move avatar image 14076"
Move avatar image 14077"
Move avatar image 14078"
Move avatar image 14079"
Move avatar image 14080"
Move avatar image 14081"
Move avatar image 14082"
Move avatar image 14083"
Move avatar image 14084"
Move avatar image 14085"
Move avatar image 14086"
Move avatar image 14087"
Move avatar image 14088"
Move avatar image 14089"
Move avatar image 14090"
Move avatar image 14091"
29.10.2015 14:35:44: Done "metal:project:normalize-user-avatars"
